OBJECTID,State Abbreviation,State FIPS Code,County FIPS Code,State and County FIPS Code,Tract FIPS Code,Block Group FIPS Code,FIPS Code,2022 Total Population,Persons per square mile,Area in square miles,2020 Total Population,2020 Population Density,Sum Development Site Land Area (sqft),Minimum Development Site Land Area (sqft),Maximum Development Site Land Area (sqft),Sum Existing Housing Units,Minimum Existing Housing Units,Maximum Existing Housing Units,Sum Existing Commercial Sqft,Minimum Existing Commercial Sqft,Maximum Existing Commercial Sqft,Sum Potential Housing Units (all residential development),Minimum Potential Housing Units (all residential development),Maximum Potential Housing Units (all residential development),Sum Potential Commercial Floor Area (all commercial development),Minimum Potential Commercial Floor Area (all commercial development),Maximum Potential Commercial Floor Area (all commercial development),Summarized Area in Square Miles,Count of Polygons,Area in Square Miles,Max Dwellings Per Sq Mi,Mean Max Comm FAR ,Current Comm Percent,Mean Max Dwelling Ratio,Current Dwellings Per Sq Mi,Count of Points
46,WA,53,33,53033,1201,3,530330012013,971,4855,0.2,927,4635,3698334.362,880.2295333,2304007,640.0565854,0,208,1341780.029,-280,1028438,18232.56045,0,12210,16326090.6,0,12210326,0.13266841,33,0.20014348,91162.80223,4.41444418,0.362806577,28.49,0.03510514,0
47,WA,53,33,53033,1202,1,530330012021,1215,7593.8,0.16,1131,7068.8,3268932,498,140750,443,0,38,94120,0,41431,1271,0,364,939060,0,363900,0.11726392,391,0.15893537,7943.75,0.287268135,0.028792278,2.87,0.348544453,1
48,WA,53,33,53033,1202,2,530330012022,1149,12766.7,0.09,1142,12688.9,2142615,2816,177394,489,0,146,68284,0,33344,1475,0,647,426360,0,133380,0.07686094,240,0.09496317,16388.88889,0.198990486,0.031869468,3.02,0.331525424,1
49,WA,53,33,53033,1202,3,530330012023,1611,26850,0.06,1607,26783.3,1463524,2049,154478,1103,0,264,258053,0,54555,2950,0,589,2779800,0,589115,0.05250024,96,0.06325441,49166.66667,1.899388052,0.176323039,2.67,0.373898305,2
50,WA,53,33,53033,1300,1,530330013001,1853,9752.6,0.19,1824,9600,3900997.18,538,287681.1804,896,0,109,121751,0,44800,1587,0,227,0,0,0,0.13993859,445,0.19402838,8352.631579,0,0.031210225,1.77,0.564587272,2
51,WA,53,33,53033,1300,2,530330013002,1540,17111.1,0.09,1549,17211.1,1722855,316,32748,801,0,87,108011,0,12012,2028,0,95,1003147,0,95451,0.06180278,296,0.09452056,22533.33333,0.582258519,0.06269303,2.53,0.394970414,0
52,WA,53,33,53033,1300,3,530330013003,1721,10123.5,0.17,1712,10070.6,3353719,2360,290494,926,0,100,812375,-888,213065,8124,0,692,6422678,0,692358,0.1203064,328,0.16737506,47788.23529,1.915091276,0.242231087,8.77,0.113983259,1
53,WA,53,33,53033,1400,1,530330014001,1157,9641.7,0.12,1151,9591.7,2440802,1970,30830,578,0,30,24043,-1471,17636,712,0,24,0,0,0,0.08755786,318,0.12467964,5933.333333,0,0.009850451,1.23,0.811797753,0
54,WA,53,33,53033,1400,2,530330014002,1408,7040,0.2,1363,6815,4125053.625,6.73521666,824100,655.4194121,0,56,68708.53072,-1844,31765,1143.406453,0,80,495949,0,79623,0.147976,384,0.19869067,5717.032264,0.120228498,0.016656397,1.74,0.573216471,1
55,WA,53,33,53033,1400,3,530330014003,1292,8613.3,0.15,1256,8373.3,3128559.456,1261,301908.2491,721.6745645,0,80,103398,0,77316,2108.706168,0,1068,1369691,0,1068200,0.11222805,292,0.14625104,14058.04112,0.437802452,0.033049716,2.92,0.342235716,0
56,WA,53,33,53033,1400,4,530330014004,1542,4283.3,0.36,1528,4244.4,8124066.627,526,2385855.194,577.8539066,0,3,52169.27649,0,37992,996.2143661,0,163,269031,0,150708,0.30265049,583,0.36136016,2767.262128,0.033115312,0.006421572,1.72,0.580049763,1
57,WA,53,33,53033,1500,1,530330015001,1300,6500,0.2,1290,6450,4233213,950,333856,543,0,29,9943,0,9943,473,0,33,47119,0,33038,0.15185522,524,0.2016716,2365,0.011130789,0.002348807,0.87,1.147991543,1
58,WA,53,33,53033,1500,2,530330015002,1416,5664,0.25,1389,5556,5110537.791,0,172967.1152,598.9212699,0,11,12.55578091,0,11.70275472,509.8694862,0,20,57029,0,19692,0.19193089,539,0.24878925,2039.477945,0.0111591,2.45684E-06,0.85,1.174656037,0
59,WA,53,33,53033,1600,1,530330016001,1465,3959.5,0.37,1461,3948.6,7628597.703,0,456321,579.441484,0,6,50752.29776,0,47378,650.5485951,0,22,0,0,0,0.30649779,630,0.37348467,1758.239446,0,0.0066529,1.12,0.890696696,0
60,WA,53,33,53033,1600,2,530330016002,1449,5573.1,0.26,1445,5557.7,5422506.984,2511,640408,567.6821799,0,2,194261,0,162870,762.6821799,0,87,0,0,0,0.19451858,576,0.25540875,2933.393,0,0.035824942,1.34,0.744323382,0
61,WA,53,33,53033,1600,3,530330016003,1743,12450,0.14,1598,11414.3,2857366,107,80772,888,0,40,195660,-180,37581,4061,0,378,2827660,0,377609,0.1025009,429,0.14444297,29007.14286,0.989603712,0.068475652,4.57,0.218665353,1
62,WA,53,33,53033,1701,1,530330017011,1934,14876.9,0.13,1748,13446.2,2499063,280,331286,1292,0,203,371081,-96,167000,5059,0,1549,4721759,0,1548762,0.08964759,288,0.12500593,38915.38462,1.889411752,0.148488053,3.92,0.25538644,1
63,WA,53,33,53033,1701,2,530330017012,1347,11225,0.12,1340,11166.7,2244557.224,2000,67037,731,0,56,69187,-1483,48117,1353.799064,0,234,728800.841,0,234312,0.08051766,310,0.11770609,11281.65887,0.324696931,0.030824342,1.85,0.539961963,1
64,WA,53,33,53033,1701,3,530330017013,1163,11630,0.1,1164,11640,1807779.776,2260,61657.77648,582,0,30,59981,0,12700,1199.200936,1,51,714483.159,0,51138,0.06485099,334,0.10198693,11992.00936,0.395226879,0.033179373,2.06,0.48532317,0
65,WA,53,33,53033,1702,1,530330017021,1367,15188.9,0.09,1337,14855.6,1670821,762,98818,784,0,272,90265,0,40485,1497,0,296,1178379,0,296454,0.05993683,221,0.08581186,16633.33333,0.705269445,0.054024339,1.91,0.523714095,0
66,WA,53,33,53033,1702,2,530330017022,1140,8769.2,0.13,1132,8707.7,2577585,1536,438935,513,0,33,32327,-304,4896,1094,0,87,130368,0,49509,0.09246464,402,0.12544127,8415.384615,0.050577576,0.012541584,2.13,0.468921389,0
67,WA,53,33,53033,1702,3,530330017023,1295,11772.7,0.11,1294,11763.6,2273578,2113,150793,579,0,131,80822,-4700,60422,1219,0,163,565842,0,116322,0.08155898,319,0.11364675,11081.81818,0.24887732,0.035548374,2.11,0.474979491,0
68,WA,53,33,53033,1702,4,530330017024,1576,9270.6,0.17,1564,9200,3305112,126,161895,749,0,85,38679,0,15212,1146,0,140,644562,0,139839,0.11856291,472,0.16940908,6741.176471,0.195019715,0.01170278,1.53,0.653577661,1
69,WA,53,33,53033,1800,1,530330018001,1728,10800,0.16,1709,10681.3,3397120.367,34,734998,679,0,16,268381.055,0,265072,1468.468171,0,440,79672,0,58428,0.12186253,441,0.16406338,9177.926071,0.023452805,0.079002516,2.16,0.462386597,0
70,WA,53,33,53033,1800,2,530330018002,1802,20022.2,0.09,1690,18777.8,1802872,477,37973,1242,0,124,97462,-2123,17054,3052,0,178,1544977,0,177524,0.06467358,300,0.09424446,33911.11111,0.856953239,0.054059301,2.46,0.406946265,0
71,WA,53,33,53033,1800,3,530330018003,1757,15972.7,0.11,1710,15545.5,2111758,1199,146517,951,0,28,269147,-978,134748,3286,1,685,1924271,0,684967,0.07575358,341,0.10698303,29872.72727,0.911217573,0.12745163,3.46,0.289409617,0
72,WA,53,33,53033,1900,1,530330019001,1619,10118.8,0.16,1610,10062.5,3611854,1898,187167,616,0,20,159290,0,56614,1143,1,46,447006,0,44721,0.12956575,525,0.16001114,7143.75,0.123760816,0.044102004,1.86,0.538932633,0
73,WA,53,33,53033,1900,2,530330019002,1429,7521.1,0.19,1416,7452.6,3229934,31,17504,550,0,3,7260,0,7260,590,0,53,54471,0,52512,0.11586588,529,0.18800991,3105.263158,0.016864431,0.002247724,1.07,0.93220339,0
74,WA,53,33,53033,1900,3,530330019003,1164,38800,0.03,719,23966.7,709897,42487,208609,530,0,387,87255,0,87255,4323,203,1373,4322391,202540,1373029,0.02546573,6,0.03135505,144100,6.088757947,0.122912197,8.16,0.122600046,0
75,WA,53,33,53033,1900,4,530330019004,1220,4692.3,0.26,1214,4669.2,5590166.091,296.1602959,2726521.223,598.9434146,0,85,1504828.916,0,779211.3846,9294.971383,0,2322.781942,6099361.4,0,1060703,0.20053283,234,0.26437379,35749.88993,1.091087689,0.269192166,15.52,0.06443736,0
76,WA,53,33,53033,2000,1,530330020001,1394,10723.1,0.13,1376,10584.6,2721483,403,40092,678,0,99,28420,0,11225,977,0,98,435561,0,98319,0.0976261,393,0.12801713,7515.384615,0.160045461,0.010442836,1.44,0.693961105,0
77,WA,53,33,53033,2000,2,530330020002,1228,8186.7,0.15,1184,7893.3,3044032,2740,163119,519,0,21,84862,0,24755,597,0,21,0,0,0,0.10919711,431,0.149787,3980,0,0.027878156,1.15,0.869346734,0
