OBJECTID,State Abbreviation,State FIPS Code,County FIPS Code,State and County FIPS Code,Tract FIPS Code,Block Group FIPS Code,FIPS Code,2022 Total Population,Persons per square mile,Area in square miles,2020 Total Population,2020 Population Density,Sum Development Site Land Area (sqft),Minimum Development Site Land Area (sqft),Maximum Development Site Land Area (sqft),Sum Existing Housing Units,Minimum Existing Housing Units,Maximum Existing Housing Units,Sum Existing Commercial Sqft,Minimum Existing Commercial Sqft,Maximum Existing Commercial Sqft,Sum Potential Housing Units (all residential development),Minimum Potential Housing Units (all residential development),Maximum Potential Housing Units (all residential development),Sum Potential Commercial Floor Area (all commercial development),Minimum Potential Commercial Floor Area (all commercial development),Maximum Potential Commercial Floor Area (all commercial development),Summarized Area in Square Miles,Count of Polygons,Area in Square Miles,Max Dwellings Per Sq Mi,Mean Max Comm FAR ,Current Comm Percent,Mean Max Dwelling Ratio,Current Dwellings Per Sq Mi,Count of Points
196,WA,53,33,53033,5100,3,530330051003,1168,12977.8,0.09,1167,12966.7,1718190,400,12272,522,0,24,6456,0,4170,474,0,21,32885,0,21149,0.06163491,389,0.09358294,5266.666667,0.019139327,0.003757442,0.91,1.101265823,0
197,WA,53,33,53033,5201,1,530330052011,1352,12290.9,0.11,1332,12109.1,1741532.68,196.9254119,96210,591,0,24,153349.9979,0,56382,633.9134789,0,63,761610.3035,0,153750,0.06330241,325,0.11496103,5762.849808,0.437321856,0.08805462,1.07,0.932303886,0
198,WA,53,33,53033,5201,2,530330052012,1364,13640,0.1,1340,13400,1761582,1950,49293,526,0,84,101148,0,27793,1040,0,128,666357,0,121998,0.06319128,378,0.10115559,10400,0.378271917,0.057418843,1.98,0.505769231,1
199,WA,53,33,53033,5201,3,530330052013,1230,24600,0.05,1226,24520,743079,2585,119713,724,0,162,195265,0,144578,4054,2,1273,3361013,0,1273044,0.02665587,86,0.05404378,81080,4.523089739,0.262778251,5.60,0.178589048,2
200,WA,53,33,53033,5202,1,530330052021,1290,43000,0.03,1231,41033.3,386978,2377,34588,631,0,125,25883,0,10116,3151,11,400,2253252,0,400416,0.01388175,34,0.02701637,105033.3333,5.822687595,0.066884939,4.99,0.200253888,0
201,WA,53,33,53033,5202,2,530330052022,1207,24140,0.05,1201,24020,582586.5172,2690,118911.6229,752,0,209,89710.50871,0,17764,2494.817635,0,442,1274067.901,0,442440,0.02240214,49,0.04530952,49896.3527,2.186916214,0.153986586,3.32,0.301424837,2
202,WA,53,33,53033,5202,3,530330052023,1196,39866.7,0.03,1163,38766.7,487099,2472,45683,667,0,54,234546,0,108344,2890,11,457,1295050,0,456830,0.01747321,69,0.03165375,96333.33333,2.658699772,0.481516078,4.33,0.230795848,1
203,WA,53,33,53033,5303,1,530330053031,1628,10853.3,0.15,1601,10673.3,2879871.866,12.36692467,1605233.401,0.27267034,0,0.27267034,30896.14038,0,16026,8428.425215,0,4453.787823,3958957.191,34.00788009,3665564.54,0.10912604,9,0.14990067,56189.50143,1.374699075,0.010728304,30910.68,3.23513E-05,0
204,WA,53,33,53033,5303,2,530330053032,3717,4705.1,0.79,3709,4694.9,18739731.04,167.4064889,18660771.47,0.96275608,0,0.42117713,0,0,0,45309.87781,0,45309.87245,630154.0135,0,630154.0135,0.67784494,8,0.78851735,57354.2757,0.033626631,0,47062.68,2.12483E-05,0
205,WA,53,33,53033,5304,1,530330053041,1853,185300,0.01,1865,186500,150307.5917,150307.5917,150307.5917,0,0,0,269.7788113,269.7788113,269.7788113,558.3603882,558.3603882,558.3603882,459542.7804,459542.7804,459542.7804,0.00573069,1,0.01070141,55836.03882,3.057349101,0.001794845,#DIV/0!,0,0
206,WA,53,33,53033,5304,2,530330053042,1663,83150,0.02,1641,82050,196861.0553,4121,192740.0553,0,0,0,16507.9385,345.9385013,16162,734.9878677,19,715.9878677,608539.6348,19266,589273.6348,0.00749624,2,0.0174967,36749.39339,3.091213922,0.083855786,#DIV/0!,0,0
207,WA,53,33,53033,5305,1,530330053051,1375,27500,0.05,1354,27080,886551.241,3316,73954,986,0,123,1192340.547,0,336254,7121.916708,14,887,7088186.223,13513,887448,0.03190754,90,0.05003541,142438.3342,7.995235802,1.344920058,7.22,0.138445876,5
208,WA,53,33,53033,5305,2,530330053052,1658,55266.7,0.03,1531,51033.3,572053.4311,2679,45327,845,0,110,523599.0167,0,137929,5838.704244,12,544,5805882.619,0,543924,0.02060485,53,0.03219232,194623.4748,10.14919639,0.915297397,6.91,0.144723892,1
209,WA,53,33,53033,5306,1,530330053061,1630,32600,0.05,1678,33560,978645,1962,60595,1503,0,230,732334,0,129249,6198,8,453,5898734,0,452970,0.03510589,89,0.05240783,123960,6.027450199,0.748314251,4.12,0.24249758,5
210,WA,53,33,53033,5306,2,530330053062,1484,49466.7,0.03,1456,48533.3,428286,2997,57268,1085,0,184,321713,-1530,125562,4678,30,573,4678044,29970,572680,0.01536358,28,0.02500051,155933.3333,10.92271053,0.751163942,4.31,0.231936725,2
211,WA,53,33,53033,5307,1,530330053071,1028,51400,0.02,936,46800,258008,4293,24820,132,0,42,21075,0,21075,490,8,48,0,0,0,0.00925536,30,0.01553795,24500,0,0.081683514,3.71,0.269387755,0
212,WA,53,33,53033,5307,2,530330053072,628,62800,0.01,714,71400,257563,3722,21594,39,0,28,13120,0,13120,487,7,41,0,0,0,0.00923936,36,0.01332807,48700,0,0.050938994,12.49,0.080082136,0
213,WA,53,33,53033,5307,3,530330053073,1269,63450,0.02,1271,63550,396810,3256,20593,77,0,19,5191,-1410,5281,756,6,39,0,0,0,0.01423435,55,0.02133796,37800,0,0.013081828,9.82,0.101851852,0
214,WA,53,33,53033,5401,1,530330054011,1267,31675,0.04,1253,31325,657822.0904,796.0904328,42226,790,0,171,207824,-519,66336,2269,0,197,1847517,0,197407,0.0235974,82,0.03921276,56725,2.808535966,0.315927366,2.87,0.348171,1
215,WA,53,33,53033,5401,2,530330054012,1348,9628.6,0.14,1339,9564.3,2154080.557,0.10973945,628565.8209,692.6580546,0,143,315283.3166,0,77034,1326,0,231,1155839.417,0,231291,0.08924928,210,0.13558716,9471.428571,0.536581333,0.146365611,1.91,0.522366557,1
216,WA,53,33,53033,5401,3,530330054013,1272,10600,0.12,1261,10508.3,2044744.259,0,228573,668.1208394,0,101,888618.1431,0,218181,1787,0,160,3470046.343,0,549322,0.07825459,206,0.11693168,14891.66667,1.697056405,0.434586447,2.67,0.373878478,2
217,WA,53,33,53033,5402,1,530330054021,1219,13544.4,0.09,1188,13200,1588775,1322,13695,540,0,13,11203,0,3678,723,1,11,65720,0,10954,0.05699256,370,0.08562014,8033.333333,0.041365203,0.007051345,1.34,0.746887967,0
218,WA,53,33,53033,5402,2,530330054022,1145,22900,0.05,1138,22760,864106,1663,70736,799,0,278,164931,0,34713,1539,1,331,1243907,0,330691,0.03099716,157,0.0480971,30780,1.439530567,0.190868944,1.93,0.519168291,0
219,WA,53,33,53033,5402,3,530330054023,1009,20180,0.05,936,18720,772269,280,35648,758,0,153,138935,0,85284,1149,0,107,586624,0,106944,0.02770261,131,0.0453995,22980,0.759610965,0.179904929,1.52,0.659704091,0
220,WA,53,33,53033,5600,1,530330056001,1574,8744.4,0.18,1559,8661.1,3663940,85,55319,604,0,2,0,0,0,622,0,11,0,0,0,0.13143168,605,0.18355585,3455.555556,0,0,1.03,0.971061093,0
221,WA,53,33,53033,5600,2,530330056002,1385,4946.4,0.28,1375,4910.7,5390720.174,0,201595,548.6215966,0,5,0.05373345,0,0.05373345,604.0073623,0,21,0,0,0,0.20272554,567,0.27579257,2157.169151,0,9.96777E-09,1.10,0.90830283,0
222,WA,53,33,53033,5600,3,530330056003,1445,4250,0.34,1434,4217.6,5876939.142,1.27288269,550416.6086,540.7612852,0,3.38525588,34787.66003,0,13065,710.9092071,0,44.63037601,65587.89644,0,41721,0.22099723,599,0.33801678,2090.909433,0.011160214,0.00591935,1.31,0.76066153,1
223,WA,53,33,53033,5600,4,530330056004,1365,8029.4,0.17,1357,7982.4,3285651,1576,19538,524,0,2,33834,0,8838,608,0,31,77028,0,30942,0.11785557,532,0.17409012,3576.470588,0.023443756,0.010297503,1.16,0.861842105,1
224,WA,53,33,53033,5600,5,530330056005,1420,7100,0.2,1405,7025,3417054.922,0,118788.5024,592,0,5,78020,0,24746,1021.475295,0,153,418287,0,152187,0.12257546,607,0.19520571,5107.376474,0.122411553,0.022832527,1.73,0.579553909,1
225,WA,53,33,53033,5700,1,530330057001,1365,1083.3,1.26,1346,1068.3,30383953.81,0,23381545.39,564.720109,0,30,24684.1937,0,9097.586759,3672.603864,0,2444.559133,43845,0,43845,1.14997882,464,1.25755755,2914.764972,0.001443031,0.000812409,6.50,0.153765592,2
226,WA,53,33,53033,5700,2,530330057002,1205,8033.3,0.15,1182,7880,2768408,361,174481,487,0,8,62091,0,52563,539,0,34,0,0,0,0.09930838,426,0.15287364,3593.333333,0,0.022428414,1.11,0.903525046,0
227,WA,53,33,53033,5700,3,530330057003,1393,6633.3,0.21,1376,6552.4,3816126,2757,670901,547,0,27,384856,0,167296,1485,1,134,866205,0,123375,0.13689211,477,0.20722051,7071.428571,0.22698543,0.10084992,2.71,0.368350168,2
228,WA,53,33,53033,5700,4,530330057004,1307,8713.3,0.15,1300,8666.7,2588648,956,42008,615,0,41,38963,0,17142,819,0,101,327593,0,100819,0.09286038,433,0.1476079,5460,0.126549844,0.015051486,1.33,0.750915751,0
229,WA,53,33,53033,5700,5,530330057005,1397,8217.6,0.17,1382,8129.4,3046010.398,0.00072315,289199,672.9222285,0,33,105569.2392,0,29014,740.4503653,0,37,505622.5916,0,231318,0.11293161,374,0.16732007,4355.590384,0.165995031,0.034658201,1.10,0.908801265,1
230,WA,53,33,53033,5801,1,530330058011,1385,17312.5,0.08,1331,16637.5,1500532,1339,18624,643,0,21,33300,-399,12460,1071,0,54,232629,0,54087,0.0538275,258,0.08215146,13387.5,0.155031016,0.022192129,1.67,0.600373483,0
231,WA,53,33,53033,5801,2,530330058012,1743,21787.5,0.08,1727,21587.5,1672689,2483,268496,889,0,109,4256,0,3122,989,0,87,0,0,0,0.06000273,169,0.08170116,12362.5,0,0.002544406,1.11,0.898887765,1
232,WA,53,33,53033,5801,3,530330058013,1396,10738.5,0.13,1360,10461.5,2490065,490,305955,712,0,84,54981,0,52546,751,0,81,0,0,0,0.08932317,289,0.13059295,5776.923077,0,0.022080147,1.05,0.948069241,1
233,WA,53,33,53033,5801,4,530330058014,1735,4231.7,0.41,1698,4141.5,7664498.452,8,1486999,902,0,226,2164307.961,0,208562,2433,0,333,6861155.154,0,1475690,0.3019816,414,0.40915897,5934.146341,0.895186449,0.282380899,2.70,0.370735717,3
234,WA,53,33,53033,5803,1,530330058031,1838,12253.3,0.15,1731,11540,2830116,768,201449,769,0,41,14598,0,4250,949,0,36,125634,0,36009,0.10152166,436,0.15148994,6326.666667,0.04439182,0.005158092,1.23,0.81032666,0
235,WA,53,33,53033,5803,2,530330058032,1658,9752.9,0.17,1616,9505.9,3123687.636,506.5843834,243912.3727,888.9685569,0,35,83203.98436,0,78880,1107.870046,0,53.75440658,330797.8458,0,150087.5617,0.11205252,399,0.16979476,6516.882626,0.105899784,0.026636461,1.25,0.802412304,1
236,WA,53,33,53033,5804,1,530330058041,1485,1811,0.82,1319,1608.5,19176124.34,16.15249656,2630171.078,831.0569313,0,236,2868159.734,0,878200,9286.277939,0,5544,26014142.77,0,5544059,0.73019367,285,0.81530621,11324.72919,1.356590222,0.149569313,11.17,0.089493006,5
237,WA,53,33,53033,5804,2,530330058042,1687,18744.4,0.09,1674,18600,1459104.447,1741.447425,72715,1023,0,97,465417.2017,0,112614,1823.052971,0,198,1055366.378,0,198186,0.05234074,170,0.08509382,20256.14413,0.723297349,0.318974562,1.78,0.561146613,1
238,WA,53,33,53033,5901,1,530330059011,1318,8237.5,0.16,1295,8093.8,2613489.516,0.16998673,224059.9795,666.5163601,0,79,500842.8979,0,148041,1061.25775,0,103,746400.0834,0,103278,0.11309103,248,0.1550739,6632.860937,0.285595209,0.191637615,1.59,0.628043809,3
239,WA,53,33,53033,5901,2,530330059012,922,13171.4,0.07,1056,15085.7,1625644,1366,464131,187,0,10,354671,0,197308,1420,0,609,0,0,0,0.05831508,113,0.07417856,20285.71429,0,0.218172613,7.59,0.131690141,0
240,WA,53,33,53033,5901,3,530330059013,1157,16528.6,0.07,1219,17414.3,1305627.449,968.6780574,164198,390,0,70,166734.3023,0,58104,1289.474824,0,399,846024.6285,0,358464,0.04683586,177,0.0711489,18421.06891,0.647983182,0.127704348,3.31,0.302448712,1
241,WA,53,33,53033,5902,1,530330059021,1433,14330,0.1,1415,14150,1936579,1200,22103,630,0,23,648,0,648,661,0,29,0,0,0,0.06946929,362,0.10246817,6610,0,0.000334611,1.05,0.953101362,0
242,WA,53,33,53033,5902,2,530330059022,1418,11816.7,0.12,1337,11141.7,2296365,985,19003,481,0,4,13278,0,13278,471,0,3,0,0,0,0.08237503,481,0.12364291,3925,0,0.005782182,0.98,1.021231423,0
243,WA,53,33,53033,5902,3,530330059023,1388,8164.7,0.17,1375,8088.2,3359886,627,1037327,584,0,50,147451,0,70821,954,0,206,102859,0,20177,0.12052596,443,0.16888481,5611.764706,0.030613836,0.043885715,1.63,0.612159329,0
244,WA,53,33,53033,6000,1,530330060001,1677,16770,0.1,1641,16410,1335039.978,0.33590787,64793,984.460549,0,127,42979.26477,0,12052,1783,0,154,790303,0,153948,0.05310141,162,0.09697044,17830,0.591969539,0.032193242,1.81,0.552137156,1
245,WA,53,33,53033,6000,2,530330060002,1512,9450,0.16,1464,9150,2763533.334,78,95548,544.5070016,0,36,164563.9577,0,61127,809,0,63,190818,0,62850,0.10011433,497,0.16419034,5056.25,0.069048561,0.059548389,1.49,0.673061807,1
246,WA,53,33,53033,6000,3,530330060003,1542,10280,0.15,1533,10220,2881833,64,413968,684,0,128,31072,0,18930,803,0,68,69265,0,26011,0.10337709,493,0.14976857,5353.333333,0.02403505,0.010782027,1.17,0.851805729,1
247,WA,53,33,53033,6000,4,530330060004,1467,13336.4,0.11,1423,12936.4,1809883.129,253,167063.4334,727,0,100,608419,0,135520,2478.267426,0,277,1347202.642,0,276858,0.06492404,196,0.10670716,22529.70388,0.744358915,0.3361648,3.41,0.293350101,0
248,WA,53,33,53033,6100,1,530330061001,1423,12936.4,0.11,1319,11990.9,1607312.393,0,21093,660.48612,0,61,58063.97995,0,13807,547,0,63,213975,0,63279,0.06676972,297,0.1120639,4972.727273,0.133125957,0.036124888,0.83,1.207470055,0
249,WA,53,33,53033,6100,2,530330061002,1256,6977.8,0.18,1221,6783.3,2374975.697,0,181202.2355,600.1132341,0,40,58119.42966,-1010,18474,723.3802252,0,63,223515,0,43095,0.08950216,357,0.17699345,4018.779029,0.094112542,0.024471589,1.21,0.829595852,1
250,WA,53,33,53033,6100,3,530330061003,860,21500,0.04,808,20200,563472.3311,0,51027.28848,437.7346772,0,34,119990.904,-380,53289,1125,0,78,604484,0,77873,0.02033891,86,0.03816968,28125,1.07278382,0.212949061,2.57,0.389097491,0
251,WA,53,33,53033,6100,4,530330061004,895,14916.7,0.06,891,14850,674899.9073,0.02139283,38537,651.062314,0,133,255766.7193,0,82234,970,0,97,727473,0,96894,0.02901485,66,0.05907693,16166.66667,1.077897614,0.378969854,1.49,0.671198262,1
252,WA,53,33,53033,6100,5,530330061005,1478,18475,0.08,1428,17850,1214511.099,0,83663,788.2151965,0,61,307273.5492,-527,74223,2633,0,346,746546,0,101125,0.04373836,182,0.07553475,32912.5,0.614688495,0.253001845,3.34,0.29936012,3
253,WA,53,33,53033,6200,1,530330062001,1520,3102,0.49,1516,3093.9,8167398.729,1775,4716470.057,630,0,29,37827.20411,0,11713,1146.10084,0,402.9943883,184495,0,39039,0.30561426,552,0.48858156,2338.981306,0.0225892,0.004631487,1.82,0.549689851,4
254,WA,53,33,53033,6200,2,530330062002,1540,7000,0.22,1536,6981.8,3491182.538,1440,339045.1013,565,0,4,149330.6444,0,68606.26716,718.5906334,0,70,118337,0,69708,0.13581406,569,0.217668,3266.321061,0.033895965,0.042773657,1.27,0.786261292,2
255,WA,53,33,53033,6200,3,530330062003,1029,4473.9,0.23,1023,4447.8,3628891.727,677,243437,433,0,20,190998,0,145618,556.5394637,0,27,0,0,0,0.13017531,394,0.23432914,2419.736799,0,0.052632598,1.29,0.778022096,3
256,WA,53,33,53033,6300,1,530330063001,1348,8425,0.16,1343,8393.8,3084764.028,271.2383413,194144.4729,559.0913425,0,113.6521418,38688,0,19232,748.7421659,0,190.6190986,113205,0,30252,0.11343537,387,0.16132821,4679.638537,0.036698107,0.01254164,1.34,0.746707435,0
257,WA,53,33,53033,6300,2,530330063002,1511,2747.3,0.55,1502,2730.9,12937216.23,1203,1852830,604,0,13,153641.0571,0,39704,1767.63864,0,254,258018,0,48084,0.46305911,588,0.54993267,3213.888436,0.019943858,0.011875898,2.93,0.341698799,1
258,WA,53,33,53033,6300,3,530330063003,1326,16575,0.08,1318,16475,1430090.882,0,245096.4068,747.3563228,0,143.4793953,57904.18697,-18.81302585,8204,857.2859312,0,240.6458212,205930,0,28519,0.057215,244,0.0821773,10716.07414,0.143997841,0.040489865,1.15,0.871770194,1
259,WA,53,33,53033,6300,4,530330063004,1374,6542.9,0.21,1367,6509.5,3606166.645,761.8026417,153568.5909,571.2877941,0,58.22509523,66468.47072,-879.3893186,28236,722.9300744,0,76.66470982,116780,0,28721,0.1444309,393,0.21437371,3442.524164,0.032383417,0.018431891,1.27,0.790239353,1
260,WA,53,33,53033,6400,1,530330064001,1142,9516.7,0.12,1132,9433.3,2014077.703,43,83433.70259,465,0,4,5300.738835,0,4028,425.128915,0,7.12891496,0,0,0,0.07237852,427,0.11611451,3542.740958,0,0.002631844,0.91,1.09378587,0
261,WA,53,33,53033,6400,2,530330064002,996,11066.7,0.09,988,10977.8,1671943,2392,37151,378,1,50,0,0,0,391,1,56,0,0,0,0.05997551,298,0.08975291,4344.444444,0,0,1.03,0.966751918,0
262,WA,53,33,53033,6400,3,530330064003,1313,9378.6,0.14,1300,9285.7,2644851,2600,136043,465,0,19,323586,0,147252,602,1,29,117872,0,29112,0.09487521,408,0.1430436,4300,0.044566594,0.122345644,1.29,0.772425249,0
263,WA,53,33,53033,6500,1,530330065001,1652,5900,0.28,1553,5546.4,6251335.523,1149,1949912.523,762,0,70,90458.09644,0,52872.09644,1701.76242,0,381.7624202,0,0,0,0.22974142,443,0.27639966,6077.722929,0,0.014470203,2.23,0.447771082,2
264,WA,53,33,53033,6500,2,530330065002,1512,15120,0.1,1477,14770,1892596.477,1213.477003,102074,904,0,34,89511.90356,-1116,61691,1864.23758,0,181,320328,0,72900,0.06789446,279,0.10000863,18642.3758,0.169253195,0.047295821,2.06,0.484916735,0
265,WA,53,33,53033,6500,3,530330065003,1645,23500,0.07,1642,23457.1,1283525,759,40327,1186,0,59,52173,-1200,26010,1920,0,133,218858,0,132578,0.04604235,175,0.06669599,27428.57143,0.170513235,0.040648215,1.62,0.617708333,0
266,WA,53,33,53033,6600,1,530330066001,1074,4881.8,0.22,1070,4863.6,2600484.497,0,437698,847,0,204,4022774.652,0,934572,10480.64613,0,3721,10624557.85,0,3720894,0.11947482,98,0.2151783,47639.30057,4.085607071,1.546932757,12.37,0.080815628,1
267,WA,53,33,53033,6600,2,530330066002,1915,31916.7,0.06,1851,30850,1010151,1204,23281,1041,0,45,48541,0,7110,2070,0,59,572851,0,47028,0.03623607,172,0.06374279,34500,0.567094424,0.048053212,1.99,0.502898551,3
268,WA,53,33,53033,6600,3,530330066003,1164,7760,0.15,1140,7600,2215490,174,250348,729,0,113,64385,0,35960,1022,0,212,47283,0,24972,0.07947339,196,0.14879583,6813.333333,0.021342006,0.029061291,1.40,0.713307241,0
269,WA,53,33,53033,6701,1,530330067011,1293,64650,0.02,1286,64300,273640,4669,67468,696,0,296,368428,0,345992,1470,16,325,1470912,15653,324938,0.00981598,9,0.01900759,73500,5.37535448,1.346396726,2.11,0.473469388,0
270,WA,53,33,53033,6701,2,530330067012,1309,26180,0.05,1140,22800,701053.8096,59.21814097,101056,936,0,385,816566.0066,0,206142,2532.56745,0,630,2532603.366,0,630133,0.0325212,25,0.05286984,50651.34899,3.612566299,1.164769373,2.71,0.369585418,0
271,WA,53,33,53033,6701,3,530330067013,1827,26100,0.07,1634,23342.9,1095122.943,0.25783403,66992,1065.317977,0,80,867914.8118,0,381511,2234,0,236,1701343,0,235681,0.0468282,121,0.07494723,31914.28571,1.553563471,0.792527284,2.10,0.476865701,0
272,WA,53,33,53033,6702,1,530330067021,1337,26740,0.05,1155,23100,809420.8765,0.87648446,66532,858.0011348,0,155,38317,0,7360,1548.001277,0.00127664,167,761522,0,166974,0.02903543,120,0.04724345,30960.02553,0.940823275,0.047338784,1.80,0.554263842,2
273,WA,53,33,53033,6702,2,530330067022,1068,53400,0.02,1064,53200,398693,7665,65677,747,0,361,729195,759,522805,2421,26,443,2421233,25690,443320,0.01430174,13,0.02468241,121050,6.072925785,1.828963639,3.24,0.308550186,0
274,WA,53,33,53033,6702,3,530330067023,1096,21920,0.05,1037,20740,720231,726,60218,727,0,118,239320,0,113702,2272,0,331,1501399,0,331199,0.02583585,98,0.04574168,45440,2.084607577,0.332282282,3.13,0.319982394,0
275,WA,53,33,53033,6703,1,530330067031,1061,10610,0.1,1042,10420,1794869.089,56,130627,519,0,57,82340,-868,65531,926.4008804,0,96,390676.9023,0,96104,0.06438509,308,0.10375544,9264.008804,0.217663174,0.045875212,1.78,0.560232628,1
276,WA,53,33,53033,6703,2,530330067032,1047,14957.1,0.07,1011,14442.9,1260648.31,170,223740,634.2032057,0,144,425,0,425,1137.796785,0,262,23.09767762,0,23.09767762,0.04522164,116,0.06705328,16254.23978,1.83221E-05,0.000337128,1.79,0.55739585,1
277,WA,53,33,53033,6703,3,530330067033,1216,20266.7,0.06,1206,20100,1104326.724,38,65928,712.7956595,0,55,3024,0,3024,790.8010583,0,33,0,0,0,0.03961425,165,0.05974043,13180.01764,0,0.00273832,1.11,0.901359011,1
278,WA,53,33,53033,6800,1,530330068001,1291,12910,0.1,1247,12470,1817086,199,142215,635,0,125,75178,0,50885,692,0,71,0,0,0,0.06518222,361,0.09987396,6920,0,0.041372835,1.09,0.917630058,0
279,WA,53,33,53033,6800,2,530330068002,1073,13412.5,0.08,1070,13375,1405801,1060,29001,509,0,54,221949,0,36771,1192,0,87,905970,0,87003,0.05042863,307,0.08293079,14900,0.644451099,0.15788081,2.34,0.427013423,1
280,WA,53,33,53033,6800,3,530330068003,1019,11322.2,0.09,1024,11377.8,1679096,747,268210,543,0,107,372344,0,105308,1403,0,373,1111029,0,373084,0.0602321,260,0.09445505,15588.88889,0.661682834,0.221752657,2.58,0.387027798,3
281,WA,53,33,53033,6900,1,530330069001,1621,18011.1,0.09,1527,16966.7,1692866,1463,108011,828,0,57,24756,-419,6730,1024,0,77,148964,0,32400,0.06072692,355,0.09438408,11377.77778,0.087995151,0.014623721,1.24,0.80859375,2
282,WA,53,33,53033,6900,2,530330069002,1637,13641.7,0.12,1620,13500,2112218,583,15153,699,0,11,48017,0,11324,726,0,28,75191,0,23919,0.07576959,491,0.12296202,6050,0.035598125,0.022732975,1.04,0.962809917,1
283,WA,53,33,53033,6900,3,530330069003,1566,12046.2,0.13,1551,11930.8,2311982.621,1447,74880,883.9926183,0,85,4340,0,2700,657.9926183,0,57,19446,0,9504,0.08293471,339,0.1321286,5061.48168,0.008410963,0.001877177,0.74,1.343468899,2
284,WA,53,33,53033,7001,1,530330070011,1382,17275,0.08,1341,16762.5,1514401.379,27.37857876,64190,931.0073817,0,76,82537,0,32691,2259.007382,0,289,229428,0,59887,0.05432447,166,0.08264712,28237.59227,0.151497485,0.054501403,2.43,0.412131182,3
285,WA,53,33,53033,7001,2,530330070012,1350,45000,0.03,1293,43100,487656,3360,66880,941,2,70,0,0,0,1249,6,81,0,0,0,0.01749312,44,0.02671213,41633.33333,0,0,1.33,0.753402722,0
286,WA,53,33,53033,7001,3,530330070013,1129,37633.3,0.03,1123,37433.3,508212,2042,87075,1150,0,222,412248,0,253091,2228,4,430,1276010,0,211189,0.01823041,35,0.0289842,74266.66667,2.510782902,0.81117329,1.94,0.516157989,0
287,WA,53,33,53033,7002,1,530330070021,1278,31950,0.04,1271,31775,819579,3055,42008,893,0,87,10569,-3867,6149,1688,1,101,196713,0,85286,0.02939958,97,0.04486578,42200,0.240017131,0.012895645,1.89,0.529028436,1
288,WA,53,33,53033,7002,2,530330070022,1323,18900,0.07,1312,18742.9,1317598,2033,124521,873,0,137,34290,0,34290,1145,0,107,0,0,0,0.04726432,172,0.07415325,16357.14286,0,0.02602463,1.31,0.762445415,1
289,WA,53,33,53033,7002,3,530330070023,1660,33200,0.05,1398,27960,890545,1755,61552,1265,0,274,327922,0,90583,3247,3,385,2390286,0,384700,0.03194562,94,0.05127115,64940,2.68407099,0.368226199,2.57,0.389590391,2
290,WA,53,33,53033,7101,1,530330071011,1708,42700,0.04,1635,40875,673294,3544,43114,1420,0,211,508630,0,84210,4209,22,269,4208089,22150,269462,0.0241522,60,0.03886951,105225,6.250002228,0.755435218,2.96,0.337372297,1
291,WA,53,33,53033,7101,2,530330071012,1832,12213.3,0.15,1586,10573.3,3667773,3520,680755,1053,0,275,2783478,0,945289,24158,22,4586,24157682,22000,4586497,0.13156904,47,0.15226199,161053.3333,6.586471409,0.758901382,22.94,0.043588045,2
292,WA,53,33,53033,7102,1,530330071021,1349,13490,0.1,1345,13450,1586513.392,1243.015621,154153,985,0,123,1708887.708,0,328173,3832.571728,0,463,4603796.518,0,462881,0.05691084,77,0.09901032,38325.71728,2.90183275,1.077134121,3.89,0.257007584,0
293,WA,53,33,53033,7102,2,530330071022,1355,45166.7,0.03,1316,43866.7,516315,2393,43175,1041,0,204,600935,0,181456,3198,15,270,3139884,62,269844,0.01852122,39,0.03068944,106600,6.081334069,1.163892198,3.07,0.325515947,0
294,WA,53,33,53033,7201,1,530330072011,1777,88850,0.02,1752,87600,366008,6479,55831,1507,0,320,573721,0,212210,815,0,273,2334345,35634,307070,0.01312933,18,0.02402515,40750,6.377852397,1.567509453,0.54,1.849079755,0
295,WA,53,33,53033,7201,2,530330072012,1117,55850,0.02,1108,55400,236433,3277,25912,980,0,185,216817,0,126370,1743,0,162,1887142,27854,162052,0.00848114,22,0.01923191,87150,7.98171998,0.917033578,1.78,0.562248996,1
296,WA,53,33,53033,7201,3,530330072013,2400,240000,0.01,1786,178600,213977,495,83673,1412,0,698,167815,0,144118,3943,0,1841,3954072,10890,1840806,0.00767568,6,0.01494695,394300,18.47895802,0.784266533,2.79,0.358102967,0
297,WA,53,33,53033,7202,1,530330072021,1487,74350,0.02,1473,73650,388799,4864,38905,1165,0,344,1058805,-7561,412889,4934,0,856,5579056,35602,855910,0.01394683,35,0.0249037,246700,14.34946078,2.723270893,4.24,0.236116741,0
298,WA,53,33,53033,7202,2,530330072022,1357,33925,0.04,808,20200,566788.7478,645,83561,908,0,459,3215250.548,0,997378,15747.90384,0,2507,15766024.82,19350,2506830,0.02033168,34,0.03690366,393697.5961,27.81640406,5.672749433,17.34,0.057658467,2
299,WA,53,33,53033,7202,3,530330072023,1893,37860,0.05,1867,37340,684674.2522,65.73440423,83729,1271,0,654,4151538.452,0,1124950,16396.09616,1.96736724,2512,16394051.18,1972.032127,2511870,0.02456036,27,0.04652657,327921.9231,23.944308,6.06352355,12.90,0.077518452,3
300,WA,53,33,53033,7203,1,530330072031,1762,16018.2,0.11,1750,15909.1,1849591,3616,201528,1896,0,374,4381414,0,613381,12383,22,2015,12381945,21696,2015280,0.06634783,76,0.11475329,112572.7273,6.694423254,2.368855601,6.53,0.153113139,4
