OBJECTID,State Abbreviation,State FIPS Code,County FIPS Code,State and County FIPS Code,Tract FIPS Code,Block Group FIPS Code,FIPS Code,2022 Total Population,Persons per square mile,Area in square miles,2020 Total Population,2020 Population Density,Mean Year Built,Minimum Year Built,Maximum Year Built,Standard Deviation Year Built,Summarized Area in Square Miles,Count of Polygons,Area in Square Miles,Count of Points,Tract Gini,Tract Gini Margin Error
108,WA,53,33,53033,3000,4,530330030004,1444,11107.7,0.13,1431,11007.7,1920.72853,0,2022,210.583245,0.08412803,540,0.12539729,1,0.4271,0.045
109,WA,53,33,53033,3100,1,530330031001,1246,10383.3,0.12,1216,10133.3,1925.18971,0,2021,190.915132,0.08033714,478,0.11807073,1,0.4168,0.0343
110,WA,53,33,53033,3100,2,530330031002,1182,9850,0.12,1181,9841.7,1943.67115,0,2022,123.96385,0.08100728,481,0.11985581,0,0.4168,0.0343
111,WA,53,33,53033,3100,3,530330031003,1285,11681.8,0.11,1277,11609.1,1920.13395,0,2020,210.177001,0.08087412,422,0.11413731,1,0.4168,0.0343
112,WA,53,33,53033,3100,4,530330031004,1523,10153.3,0.15,1519,10126.7,1931.98408,0,2022,120.737933,0.09955329,569,0.1485328,0,0.4168,0.0343
113,WA,53,33,53033,3100,5,530330031005,1370,3805.6,0.36,1352,3755.6,1415.63296,0,2021,721.949684,0.29192867,542,0.35627393,3,0.4168,0.0343
114,WA,53,33,53033,3201,1,530330032011,1384,9226.7,0.15,1377,9180,1536.64083,0,2022,697.654034,0.1172012,247,0.15375888,1,0.5186,0.0938
115,WA,53,33,53033,3201,2,530330032012,1863,7165.4,0.26,1857,7142.3,1326.1235,0,2021,814.642563,0.19576283,461,0.2569853,0,0.5186,0.0938
116,WA,53,33,53033,3201,3,530330032013,1495,37375,0.04,1490,37250,1917.49531,0,2017,390.683671,0.02485026,93,0.03838871,0,0.5186,0.0938
117,WA,53,33,53033,3202,1,530330032021,1679,13991.7,0.12,1652,13766.7,1939.35602,0,2022,148.215066,0.08022107,501,0.11802702,0,0.4704,0.0553
118,WA,53,33,53033,3202,2,530330032022,1809,16445.5,0.11,1741,15827.3,1945.97367,0,2021,201.253224,0.07175858,359,0.10588204,2,0.4704,0.0553
119,WA,53,33,53033,3202,3,530330032023,1408,9386.7,0.15,1388,9253.3,1892.29699,0,2021,302.747464,0.10042223,512,0.14518572,1,0.4704,0.0553
120,WA,53,33,53033,3301,1,530330033011,1325,14722.2,0.09,1305,14500,1924.98639,0,2022,256.001583,0.05990849,297,0.08708117,0,0.4271,0.0513
121,WA,53,33,53033,3301,2,530330033012,1656,20700,0.08,1608,20100,1958.16466,0,2022,197.312054,0.05269538,322,0.08022418,1,0.4271,0.0513
122,WA,53,33,53033,3301,3,530330033013,1467,16300,0.09,1438,15977.8,1791.59045,0,2021,543.150252,0.06265725,340,0.09107893,2,0.4271,0.0513
123,WA,53,33,53033,3302,1,530330033021,1300,13000,0.1,1273,12730,1934.61818,0,2021,109.321921,0.07176609,451,0.10342,0,0.4025,0.054
124,WA,53,33,53033,3302,2,530330033022,1072,17866.7,0.06,1052,17533.3,1953.97115,1900,2022,39.9789469,0.04230482,240,0.06469533,0,0.4025,0.054
125,WA,53,33,53033,3302,3,530330033023,1173,16757.1,0.07,1141,16300,1959.40167,0,2021,239.551377,0.05344191,192,0.07400083,0,0.4025,0.054
126,WA,53,33,53033,3400,1,530330034001,1204,12040,0.1,1196,11960,1913.58216,0,2022,233.521076,0.07090406,414,0.10160888,2,0.4571,0.0603
127,WA,53,33,53033,3400,2,530330034002,1275,12750,0.1,1257,12570,1928.47304,0,2021,102.615864,0.07031688,464,0.0980601,1,0.4571,0.0603
128,WA,53,33,53033,3400,3,530330034003,1124,11240,0.1,1107,11070,1936.95244,0,2021,181.353452,0.07000013,342,0.10425092,0,0.4571,0.0603
129,WA,53,33,53033,3500,1,530330035001,1614,12415.4,0.13,1567,12053.8,1913.02633,0,2021,232.592229,0.08762386,508,0.1304986,1,0.4852,0.0371
130,WA,53,33,53033,3500,2,530330035002,1510,11615.4,0.13,1489,11453.8,1881.93462,0,2022,333.880205,0.08004768,476,0.13358365,0,0.4852,0.0371
131,WA,53,33,53033,3500,3,530330035003,1170,5087,0.23,1154,5017.4,1975.45903,0,2020,38.2598373,0.19057964,283,0.23195847,1,0.4852,0.0371
132,WA,53,33,53033,3601,1,530330036011,1325,14722.2,0.09,1265,14055.6,1915.61721,0,2022,254.346133,0.04563187,282,0.09488888,4,0.5244,0.0763
133,WA,53,33,53033,3601,2,530330036012,1414,11783.3,0.12,1398,11650,1932.2147,0,2020,177.854502,0.0808804,483,0.12382424,0,0.5244,0.0763
134,WA,53,33,53033,3601,3,530330036013,1189,29725,0.04,1175,29375,1960.72669,0,2021,220.912111,0.0266064,108,0.04156146,0,0.5244,0.0763
135,WA,53,33,53033,3602,1,530330036021,2135,30500,0.07,1818,25971.4,1914.10417,0,2021,346.11055,0.03335342,125,0.06575924,0,0.4567,0.0508
136,WA,53,33,53033,3602,2,530330036022,1418,28360,0.05,1396,27920,1913.23828,0,2021,373.180452,0.03146514,145,0.0520061,3,0.4567,0.0508
137,WA,53,33,53033,3602,3,530330036023,1376,17200,0.08,1360,17000,1898.69027,0,2021,413.823287,0.02858311,102,0.0839083,0,0.4567,0.0508
138,WA,53,33,53033,3800,1,530330038001,1442,11092.3,0.13,1424,10953.8,1963.25905,0,2021,82.6283485,0.09951328,368,0.1335247,1,0.4887,0.0549
139,WA,53,33,53033,3800,2,530330038002,1053,9572.7,0.11,1045,9500,1952.61648,0,2022,93.5706504,0.07683572,369,0.1076327,0,0.4887,0.0549
140,WA,53,33,53033,3900,1,530330039001,1865,8477.3,0.22,1851,8413.6,1788.05965,0,2021,561.096402,0.16579009,627,0.21970483,0,0.3567,0.0339
141,WA,53,33,53033,3900,2,530330039002,1199,7493.8,0.16,1190,7437.5,1951.76854,0,2021,103.803925,0.11672644,438,0.15633572,0,0.3567,0.0339
142,WA,53,33,53033,4000,1,530330040001,2414,2807,0.86,2274,2644.2,1481.54384,0,2021,813.160053,0.79174949,295,0.86377433,2,0.5443,0.0441
143,WA,53,33,53033,4000,2,530330040002,1038,7984.6,0.13,1034,7953.8,1925.10396,0,2022,272.114474,0.09199325,357,0.1301151,0,0.5443,0.0441
144,WA,53,33,53033,4101,1,530330041011,1170,6157.9,0.19,1163,6121.1,1438.5019,0,2022,803.143952,0.15525759,421,0.19319022,0,0.4144,0.0525
145,WA,53,33,53033,4101,2,530330041012,1371,5712.5,0.24,1362,5675,1850.29606,0,2020,383.432675,0.17432803,511,0.24081801,0,0.4144,0.0525
146,WA,53,33,53033,4101,3,530330041013,1395,7342.1,0.19,1389,7310.5,1805.96769,0,2021,539.01158,0.13604233,367,0.18502835,1,0.4144,0.0525
147,WA,53,33,53033,4102,1,530330041021,1363,5926.1,0.23,1360,5913,1662.36933,0,2021,575.18246,0.19716759,253,0.22610289,0,0.4443,0.0561
148,WA,53,33,53033,4102,2,530330041022,1501,7147.6,0.21,1414,6733.3,1957.06604,0,2022,176.67844,0.15821151,444,0.20511078,2,0.4443,0.0561
149,WA,53,33,53033,4102,3,530330041023,1456,6618.2,0.22,1424,6472.7,1852.69836,0,2021,451.594944,0.16801223,449,0.22127526,0,0.4443,0.0561
150,WA,53,33,53033,4201,1,530330042011,1334,6352.4,0.21,1326,6314.3,1782.97187,0,2022,574.550376,0.15691643,469,0.20573815,0,0.427,0.0445
151,WA,53,33,53033,4201,2,530330042012,1333,10253.8,0.13,1323,10176.9,1493.26362,0,2022,846.485197,0.08758724,244,0.12620039,0,0.427,0.0445
152,WA,53,33,53033,4201,3,530330042013,1316,8773.3,0.15,1310,8733.3,1866.19867,0,2022,422.798005,0.10861286,469,0.14840901,0,0.427,0.0445
153,WA,53,33,53033,4202,1,530330042021,1467,7335,0.2,1457,7285,1846.25472,0,2021,477.429837,0.14722473,442,0.19833455,3,0.3635,0.0418
154,WA,53,33,53033,4202,2,530330042022,1431,11007.7,0.13,1428,10984.6,1944.18288,0,2020,115.488186,0.08898816,516,0.13042809,1,0.3635,0.0418
155,WA,53,33,53033,4202,3,530330042023,1590,11357.1,0.14,1556,11114.3,1918.48023,0,2021,228.787227,0.09849439,542,0.14266558,3,0.3635,0.0418
156,WA,53,33,53033,4301,1,530330043011,1554,11953.8,0.13,1324,10184.6,1945.643,0,2020,307.786641,0.11062713,157,0.13295832,2,0.4846,0.0416
157,WA,53,33,53033,4301,2,530330043012,1317,13170,0.1,1300,13000,1928.22494,0,2022,135.291954,0.07228211,458,0.10095772,0,0.4846,0.0416
158,WA,53,33,53033,4301,3,530330043013,1331,9507.1,0.14,1319,9421.4,1052.91725,0,2021,967.090589,0.11012469,373,0.14414412,2,0.4846,0.0416
159,WA,53,33,53033,4302,1,530330043021,1099,18316.7,0.06,1086,18100,1881.27662,0,2021,466.134929,0.03655235,76,0.06056494,0,0.524,0.0644
160,WA,53,33,53033,4302,2,530330043022,1429,47633.3,0.03,1371,45700,1765.19242,0,2020,630.033194,0.01943915,48,0.02783345,0,0.524,0.0644
161,WA,53,33,53033,4302,3,530330043023,1546,38650,0.04,1463,36575,1955.15378,0,2020,164.663205,0.02691344,124,0.039475,0,0.524,0.0644
162,WA,53,33,53033,4401,1,530330044011,1508,11600,0.13,1426,10969.2,1055.77756,0,2021,964.279964,0.09188179,274,0.12676639,1,0.5294,0.0607
