OBJECTID,ZONEID,Zone,Contract Rezone Number,Ordinance Number,Effective Date,Historic District Overlay,Pedestrian Overlay,Shoreline Overlay,Other District Overlay,Station Area Overlay,Mandatory Housing Affordability Apply (Y/N),Incentive Zoning Apply (Y/N),Mandatory Housing Affordability Tier,Major Institution Name,Class,Category,Detail Code,Detail,Group,Zoning Description,Base Zone,Previous Zone,Previous Contract Rezone Number,Previous Ordinance Number,Previous Effective Date,Previous Historic District Overlay,Previous Pedestrian Overlay,Previous Shoreline Overlay,Previous Other District Overlay,Previous Station Area Overlay,Class Description Popup,Land Use Code Chapter,Land Use Code Chapter Link,Zoning History,Sum Planning Existing Land Use Code,Summarized Area in Square Miles,Count of Polygons,JOIN ID,Area in Square Miles,Count of Type,Mixed Use Type
2989,6015,C1-40 (M), ,125791,4/19/19 00:00, , ,UM, , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-40,C1-40,C1-30, ,0,, , ,UM, , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-40 (M),ORD125791,04/19/2019; C1-30",0,0,0,2989,0.00208204,0,Some Mixed Use
2999,6026,C1-40 (M), ,125791,4/19/19 00:00, , ,CM, , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-40,C1-40,C1-30, ,0,, , ,CM, , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-40 (M),ORD125791,04/19/2019; C1-30",0,0,0,2999,0.00072032,0,Some Mixed Use
3006,6016,C1-40 (M), ,125791,4/19/19 00:00, , ,UM, , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-40,C1-40,C1-30, ,0,, , ,UM, , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-40 (M),ORD125791,04/19/2019; C1-30",0,0,0,3006,0.00009934,0,Some Mixed Use
3021,6047,C1-40 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-40,C1-40,C1-30, ,0,, , , , , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-40 (M),ORD125791,04/19/2019; C1-30",64.05454508,0.00228476,8,3021,0.00519827,5,Some Mixed Use
3027,6053,C1-40 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-40,C1-40,C1-30, ,0,, , , , , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-40 (M),ORD125791,04/19/2019; C1-30",6.32082166,0.00082046,1,3027,0.00166278,1,Some Mixed Use
89,4778,C1-55 (M),CF290732,125791,4/19/19 00:00, , , , , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-55,C1-55,C1-40,CF290732,0,, , , , , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-55 (M),ORD125791,CF290732,04/19/2019; C1-40,CF290732",44,0.00132368,15,89,0.00249399,3,Some Mixed Use
94,4784,C1-55 (M),CF296889,125791,4/19/19 00:00, , , , , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-55,C1-55,C1-40,CF296889,0,, , , , , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-55 (M),ORD125791,CF296889,04/19/2019; C1-40,CF296889",2.70468261,0.00571269,1,94,0.00692608,1,Some Mixed Use
107,4509,C1-55 (M), ,125791,4/19/19 00:00, , , ,SS, ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-55,C1-55,C1-40, ,117919,12/29/95 00:00, , , ,SS, ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-55 (M),ORD125791,04/19/2019; C1-40,ORD117919,12/29/1995; C1-40,ORD117434,04/03/1995; C1-40",59.05547272,0.00882827,6,107,0.01287363,6,Some Mixed Use
147,5397,C1-55 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-55,C1-55,C1-40, ,0,, , , , , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-55 (M),ORD125791,04/19/2019; C1-40",23.00212459,0.00089088,3,147,0.00141361,3,Some Mixed Use
261,4807,C1-55 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-55,C1-55,C1-40, ,117919,12/29/95 00:00, , , , , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-55 (M),ORD125791,04/19/2019; C1-40,ORD117919,12/29/1995; C1-40,ORD117434,04/03/1995; C1-40",112.126351,0.0042229,26,261,0.00623866,5,Some Mixed Use
263,4811,C1-55 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-55,C1-55,C1-40, ,119661,10/28/99 00:00, , , , , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-55 (M),ORD125791,04/19/2019; C1-40,ORD119661,10/28/1999; C1-65",205.2846726,0.02648335,20,263,0.03360516,8,Some Mixed Use
282,4864,C1-55 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-55,C1-55,C1-40, ,0,, , , , , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-55 (M),ORD125791,04/19/2019; C1-40",203.9235391,0.00730104,50,282,0.01403033,6,Some Mixed Use
283,4865,C1-55 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-55,C1-55,C1-40, ,0,, , , , , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-55 (M),ORD125791,04/19/2019; C1-40",185.6683187,0.00740048,28,283,0.01300603,8,Some Mixed Use
626,5868,C1-55 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-55,C1-55,C1-40, ,0,, , , , , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-55 (M),ORD125791,04/19/2019; C1-40",143.4893605,0.00371035,24,626,0.00662833,7,Some Mixed Use
627,5869,C1-55 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-55,C1-55,C1-40, ,0,, , , , , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-55 (M),ORD125791,04/19/2019; C1-40",16.9999972,0.00312633,2,627,0.00455474,2,Some Mixed Use
670,5951,C1-55 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-55,C1-55,C1-40, ,117919,12/29/95 00:00, , , , , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-55 (M),ORD125791,04/19/2019; C1-40,ORD117919,12/29/1995; C1-40,ORD117434,04/03/1995; C1-40",18.00191826,0.00106292,3,670,0.00147881,2,Some Mixed Use
693,5475,C1-55 (M), ,125791,4/19/19 00:00, , ,UC, , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-55,C1-55,C1-40, ,124750,6/15/15 00:00, , ,UC, , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-55 (M),ORD125791,04/19/2019; C1-40,ORD124750,06/15/2015; C1-40",1.47022123,0.00077251,1,693,0.00185924,1,Some Mixed Use
694,5482,C1-55 (M), ,125791,4/19/19 00:00, , ,UC, , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-55,C1-55,C1-40, ,124750,6/15/15 00:00, , ,UC, , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-55 (M),ORD125791,04/19/2019; C1-40,ORD124750,06/15/2015; C1-40",1.28379081,0.00023738,1,694,0.00067771,1,Some Mixed Use
701,5497,C1-55 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-55,C1-55,C1-40, ,0,, , , , , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-55 (M),ORD125791,04/19/2019; C1-40; C1-40,05/01/1994",57.24843217,0.00091141,16,701,0.00237785,7,Some Mixed Use
702,5498,C1-55 (M), ,125791,4/19/19 00:00, , ,UC, , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-55,C1-55,C1-40, ,124750,6/15/15 00:00, , ,UC, , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-55 (M),ORD125791,04/19/2019; C1-40,ORD124750,06/15/2015; C1-40",37.22353981,0.00102537,10,702,0.00208834,4,Some Mixed Use
990,5375,C1-55 (M),CF295247,125791,4/19/19 00:00, , , ,SG, ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-55,C1-55,C1-40,CF295247,117919,12/29/95 00:00, , , ,SG, ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-55 (M),ORD125791,CF295247,04/19/2019; C1-40,ORD117919,CF295247,12/29/1995; C1-40,ORD117434,CF295247,04/03/1995; C1-40,ORD113861,CF295247,03/08/1988",7.4130482,0.00136343,2,990,0.00153728,2,Some Mixed Use
1010,5604,C1-55 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-55,C1-55,C1-40, ,117434,4/3/95 00:00, , , , , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-55 (M),ORD125791,04/19/2019; C1-40,ORD117434,04/03/1995; C1-40",7.4616029,0.00337076,3,1010,0.00422124,3,Some Mixed Use
1042,5662,C1-55 (M), ,125791,4/19/19 00:00, , , ,SG, ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-55,C1-55,C1-40, ,0,, , , ,SG, ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-55 (M),ORD125791,04/19/2019; C1-40",3.6312423,0.0047762,2,1042,0.00582188,2,Some Mixed Use
1048,5668,C1-55 (M), ,125791,4/19/19 00:00, , , ,SG, ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-55,C1-55,C1-40, ,117919,12/29/95 00:00, , , ,SG, ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-55 (M),ORD125791,04/19/2019; C1-40,ORD117919,12/29/1995; C1-40,ORD117434,04/03/1995; C1-40",12.42338662,0.00218077,3,1048,0.00311123,3,Some Mixed Use
1083,5731,C1-55 (M), ,125791,4/19/19 00:00, , , , , ,Y,N,M,,Commercial/Mixed Use,Commercial,C1,Commercial 1,Commercial 1,Commercial 1-55,C1-55,C1-40, ,117919,12/29/95 00:00, , , , , ,is a mixed-use zone where both residential and commercial development are allowed.,Chapter 23.47A,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.47ACO,"C1-55 (M),ORD125791,04/19/2019; C1-40,ORD117919,12/29/1995; C1-40,ORD117434,04/03/1995; C1-40",15.95202995,0.00360495,2,1083,0.00439583,2,Some Mixed Use
