OBJECTID,State Abbreviation,State FIPS Code,County FIPS Code,State and County FIPS Code,Tract FIPS Code,Block Group FIPS Code,FIPS Code,2022 Total Population,Persons per square mile,Area in square miles,2020 Total Population,2020 Population Density,Sum Planning Existing Land Use Code,Summarized Area in Square Miles,Count of Polygons,JOIN ID,Area in Square Miles,Count of Points,Percent Neutral Ground
112,WA,53,33,53033,3100,4,530330031004,1523,10153.3,0.15,1519,10126.7,616,0.09937045,572,112,0.1485328,0,0.38536993
113,WA,53,33,53033,3100,5,530330031005,1370,3805.6,0.36,1352,3755.6,907.259244,0.29429711,573,113,0.35627393,3,34.73248812
114,WA,53,33,53033,3201,1,530330032011,1384,9226.7,0.15,1377,9180,1185.126589,0.11760539,321,114,0.15375888,1,23.56239366
115,WA,53,33,53033,3201,2,530330032012,1863,7165.4,0.26,1857,7142.3,1006.780841,0.19957586,481,115,0.2569853,0,20.00846199
116,WA,53,33,53033,3201,3,530330032013,1495,37375,0.04,1490,37250,974,0.02484894,234,116,0.03838871,0,12.60981389
117,WA,53,33,53033,3202,1,530330032021,1679,13991.7,0.12,1652,13766.7,1172,0.08004262,599,117,0.11802702,0,0.6498738
118,WA,53,33,53033,3202,2,530330032022,1809,16445.5,0.11,1741,15827.3,1551,0.07181643,535,118,0.10588204,2,5.72656993
119,WA,53,33,53033,3202,3,530330032023,1408,9386.7,0.15,1388,9253.3,763,0.100368,527,119,0.14518572,1,1.97439631
120,WA,53,33,53033,3301,1,530330033011,1325,14722.2,0.09,1305,14500,1060,0.0599011,403,120,0.08708117,0,8.38814542
121,WA,53,33,53033,3301,2,530330033012,1656,20700,0.08,1608,20100,2206,0.05269325,621,121,0.08022418,1,3.57481404
122,WA,53,33,53033,3301,3,530330033013,1467,16300,0.09,1438,15977.8,1038,0.06267164,420,122,0.09107893,2,8.84782325
123,WA,53,33,53033,3302,1,530330033021,1300,13000,0.1,1273,12730,655,0.07185087,469,123,0.10342,0,1.45402288
124,WA,53,33,53033,3302,2,530330033022,1072,17866.7,0.06,1052,17533.3,843,0.04233584,304,124,0.06469533,0,1.11253977
125,WA,53,33,53033,3302,3,530330033023,1173,16757.1,0.07,1141,16300,1245,0.0534465,339,125,0.07400083,0,3.87879018
126,WA,53,33,53033,3400,1,530330034001,1204,12040,0.1,1196,11960,766,0.07092152,434,126,0.10160888,2,4.05620666
127,WA,53,33,53033,3400,2,530330034002,1275,12750,0.1,1257,12570,645,0.07031773,473,127,0.0980601,1,2.37735138
128,WA,53,33,53033,3400,3,530330034003,1124,11240,0.1,1107,11070,775,0.06887657,388,128,0.10425092,0,0.87542664
129,WA,53,33,53033,3500,1,530330035001,1614,12415.4,0.13,1567,12053.8,880,0.08768151,529,129,0.1304986,1,3.34257124
130,WA,53,33,53033,3500,2,530330035002,1510,11615.4,0.13,1489,11453.8,885.1536633,0.08004617,499,130,0.13358365,0,3.8587244
131,WA,53,33,53033,3500,3,530330035003,1170,5087,0.23,1154,5017.4,549.9991966,0.19054863,313,131,0.23195847,1,62.05709972
132,WA,53,33,53033,3601,1,530330036011,1325,14722.2,0.09,1265,14055.6,853,0.04561703,344,132,0.09488888,4,4.53009378
133,WA,53,33,53033,3601,2,530330036012,1414,11783.3,0.12,1398,11650,649,0.08087849,484,133,0.12382424,0,1.54282058
134,WA,53,33,53033,3601,3,530330036013,1189,29725,0.04,1175,29375,704,0.02661771,191,134,0.04156146,0,12.68351719
135,WA,53,33,53033,3602,1,530330036021,2135,30500,0.07,1818,25971.4,577,0.033373,176,135,0.06575924,0,12.66578938
136,WA,53,33,53033,3602,2,530330036022,1418,28360,0.05,1396,27920,1201,0.03143763,286,136,0.0520061,3,13.23754182
137,WA,53,33,53033,3602,3,530330036023,1376,17200,0.08,1360,17000,844,0.0285186,166,137,0.0839083,0,7.42595178
138,WA,53,33,53033,3800,1,530330038001,1442,11092.3,0.13,1424,10953.8,802,0.09953485,415,138,0.1335247,1,4.3385928
139,WA,53,33,53033,3800,2,530330038002,1053,9572.7,0.11,1045,9500,444,0.07683631,376,139,0.1076327,0,0.74945269
140,WA,53,33,53033,3900,1,530330039001,1865,8477.3,0.22,1851,8413.6,944,0.16578695,639,140,0.21970483,0,12.68525414
141,WA,53,33,53033,3900,2,530330039002,1199,7493.8,0.16,1190,7437.5,522,0.11673441,439,141,0.15633572,0,1.66328217
142,WA,53,33,53033,4000,1,530330040001,2414,2807,0.86,2274,2644.2,702.9045963,0.80894159,314,142,0.86377433,2,76.4518975
143,WA,53,33,53033,4000,2,530330040002,1038,7984.6,0.13,1034,7953.8,387,0.09200227,358,143,0.1301151,0,0
144,WA,53,33,53033,4101,1,530330041011,1170,6157.9,0.19,1163,6121.1,709.008114,0.15526082,428,144,0.19319022,0,0.55200106
145,WA,53,33,53033,4101,2,530330041012,1371,5712.5,0.24,1362,5675,668.0677322,0.18819557,513,145,0.24081801,0,0.96430482
146,WA,53,33,53033,4101,3,530330041013,1395,7342.1,0.19,1389,7310.5,493,0.13603677,372,146,0.18502835,1,13.22451542
147,WA,53,33,53033,4102,1,530330041021,1363,5926.1,0.23,1360,5913,529.5041662,0.19430908,261,147,0.22610289,0,17.75411734
